Stream,Task,functional,muscle_tension,normal,organic
1,1,0.07894737,0.16666667,0.79432624,0.61983471
1,1,0.42105263,0.16666667,0.4822695,0.41322314
1,1,0.26315789,0.16666667,0.77304965,0.47107438
1,1,0.26315789,0.27777778,0.75177305,0.50413223
1,1,0.31578947,0.16666667,0.84397163,0.52892562
1,1,0.26315789,0.25,0.73049645,0.56198347
1,2,0.15789474,0.22222222,0.76595745,0.36363636
1,2,0.13157895,0.16666667,0.70212766,0.50413223
1,2,0.07894737,0.13888889,0.81560284,0.48760331
1,2,0.10526316,0.41666667,0.73758865,0.37190083
1,2,0.18421053,0.27777778,0.66666667,0.48760331
1,2,0.23684211,0.,0.79432624,0.44628099
1,3,0.13157895,0.19444444,0.57446809,0.58677686
1,3,0.23684211,0.05555556,0.87943262,0.29752066
1,3,0.,0.,0.92907801,0.38016529
1,3,0.18421053,0.19444444,0.75886525,0.42975207
1,3,0.13157895,0.27777778,0.62411348,0.47933884
1,3,0.21052632,0.08333333,0.70212766,0.47107438
1,4,0.13157895,0.19444444,0.6884058,0.69166667
1,4,0.18421053,0.25,0.63043478,0.58333333
1,4,0.21052632,0.11111111,0.7826087,0.5,
1,4,0.23684211,0.11111111,0.6884058,0.51666667
1,4,0.02631579,0.08333333,0.76086957,0.625,
1,4,0.26315789,0.08333333,0.63768116,0.56666667
1,5,0.02631579,0.08333333,0.93617021,0.49586777
1,5,0.,0.11111111,0.87234043,0.58677686
1,5,0.02631579,0.02777778,0.87234043,0.6446281,
1,5,0.15789474,0.,0.91489362,0.70247934
1,5,0.,0.,0.,1.
1,5,0.,0.22222222,0.84397163,0.67768595
1,6,0.23684211,0.30555556,0.85815603,0.67768595
1,6,0.13157895,0.36111111,0.75886525,0.59504132
1,6,0.02631579,0.,0.92907801,0.65289256
1,6,0.42105263,0.16666667,0.75177305,0.62809917
1,6,0.26315789,0.16666667,0.95035461,0.81818182
1,6,0.,0.13888889,0.90780142,0.71900826
1,7,0.57894737,0.11111111,0.896,0.59504132
1,7,0.,0.,0.944,0.52892562
1,7,0.,0.,0.84,0.81818182
1,7,0.21052632,0.30555556,0.96,0.48760331
1,7,0.21052632,0.47222222,0.936,0.62809917
1,7,0.57894737,0.22222222,0.952,0.63636364